,precio,ventas,titulo,total_opiniones,etiqueta_opiniones,etiqueta_precio,etiqueta_ventas,moto,samsung,tcl,xiaomi,iphone,lg,sony,nokia,huawei,blackberry,otros
105,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
106,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
107,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
108,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
109,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
110,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
111,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
112,319999,2,"iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM,iPhone XS Max Dual SIM 256 GB Plata 4 GB RAM",22,0.0,2,1,0,0,0,0,1,0,0,0,0,0,0
113,33999,1,"Xiaomi Redmi 8 Dual SIM 64 GB Azul zafiro 4 GB RAM,Xiaomi Redmi 8 Dual SIM 64 GB Azul zafiro 4 GB RAM",71,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,32999,10,"Xiaomi Redmi 8 Dual SIM 64 GB Rojo rubí 4 GB RAM,Xiaomi Redmi 8 Dual SIM 64 GB Rojo rubí 4 GB RAM",71,1.0,0,2,0,0,0,1,0,0,0,0,0,0,0
115,33999,3,"Xiaomi Redmi 8 Dual SIM 64 GB Negro ónix 4 GB RAM,Xiaomi Redmi 8 Dual SIM 64 GB Negro ónix 4 GB RAM",71,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0
116,20900,4,"Xiaomi Redmi 7A (12 Mpx) Dual SIM 16 GB Matte black 2 GB RAM,Xiaomi Redmi 7A (12 Mpx) Dual SIM 16 GB Matte black 2 GB RAM",226,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0
117,28999,14,"Xiaomi Redmi 8 Dual SIM 32 GB Negro ónix 3 GB RAM,Xiaomi Redmi 8 Dual SIM 32 GB Negro ónix 3 GB RAM",71,1.0,0,2,0,0,0,1,0,0,0,0,0,0,0
118,33999,1,"Xiaomi Redmi 8 Dual SIM 64 GB Azul zafiro 4 GB RAM,Xiaomi Redmi 8 Dual SIM 64 GB Azul zafiro 4 GB RAM",71,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,28999,3,"Xiaomi Redmi 8 Dual SIM 32 GB Azul zafiro 3 GB RAM,Xiaomi Redmi 8 Dual SIM 32 GB Azul zafiro 3 GB RAM",71,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,28999,6,"Xiaomi Redmi 8 Dual SIM 32 GB Rojo rubí 3 GB RAM,Xiaomi Redmi 8 Dual SIM 32 GB Rojo rubí 3 GB RAM",71,1.0,0,2,0,0,0,1,0,0,0,0,0,0,0
121,28999,3,"Xiaomi Redmi 8 Dual SIM 32 GB Azul zafiro 3 GB RAM,Xiaomi Redmi 8 Dual SIM 32 GB Azul zafiro 3 GB RAM",71,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0
